Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition
41,Travel_Rarely,Sales,1,2,Female,2,Sales Executive,4,Single,5993,Yes,11,3,0,8,6,0,Yes
49,Travel_Frequently,Research & Development,8,1,Male,2,Research Scientist,2,Married,5130,No,23,4,1,10,10,1,No
37,Travel_Rarely,Research & Development,2,2,Male,1,Laboratory Technician,3,Single,2090,Yes,15,3,0,7,0,0,Yes
33,Travel_Frequently,Research & Development,3,4,Female,1,Research Scientist,3,Married,2909,Yes,11,3,0,8,8,3,No
27,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,2,Married,3468,No,12,3,1,6,2,2,No
32,Travel_Frequently,Research & Development,2,2,Male,1,Laboratory Technician,4,Single,3068,No,13,3,0,8,7,3,No
59,Travel_Rarely,Research & Development,3,3,Female,1,Laboratory Technician,1,Married,2670,Yes,20,4,3,12,1,0,No
30,Travel_Rarely,Research & Development,24,1,Male,1,Laboratory Technician,3,Divorced,2693,No,22,4,1,1,1,0,No
38,Travel_Frequently,Research & Development,23,3,Male,3,Manufacturing Director,3,Single,9526,No,21,4,0,10,9,1,No
36,Travel_Rarely,Research & Development,27,3,Male,2,Healthcare Representative,3,Married,5237,No,13,3,2,17,7,7,No
35,Travel_Rarely,Research & Development,16,3,Male,1,Laboratory Technician,2,Married,2426,No,13,3,1,6,5,0,No
29,Travel_Rarely,Research & Development,15,2,Female,2,Laboratory Technician,3,Single,4193,Yes,12,3,0,10,9,0,No
31,Travel_Rarely,Research & Development,26,1,Male,1,Research Scientist,3,Divorced,2911,No,17,3,1,5,5,4,No
34,Travel_Rarely,Research & Development,19,2,Male,1,Laboratory Technician,4,Divorced,2661,No,11,3,1,3,2,1,No
28,Travel_Rarely,Research & Development,24,3,Male,1,Laboratory Technician,3,Single,2028,Yes,14,3,0,6,4,0,Yes
29,Travel_Rarely,Research & Development,21,4,Female,3,Manufacturing Director,1,Divorced,9980,No,11,3,1,10,10,8,No
32,Travel_Rarely,Research & Development,5,2,Male,1,Research Scientist,2,Divorced,3298,Yes,12,3,2,7,6,0,No
22,Non-Travel,Research & Development,16,2,Male,1,Laboratory Technician,4,Divorced,2935,Yes,13,3,2,1,1,0,No
53,Travel_Rarely,Sales,2,4,Female,4,Manager,4,Married,15427,No,16,3,0,31,25,3,No
38,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,4,Single,3944,Yes,11,3,0,6,3,1,No
24,Non-Travel,Research & Development,11,2,Female,2,Manufacturing Director,3,Divorced,4011,No,18,3,1,5,4,1,No
36,Travel_Rarely,Sales,9,4,Male,1,Sales Representative,1,Single,3407,No,23,4,0,10,5,0,Yes
34,Travel_Rarely,Research & Development,7,4,Female,3,Research Director,2,Single,11994,No,11,3,0,13,12,2,No
21,Travel_Rarely,Research & Development,15,2,Male,1,Research Scientist,4,Single,1232,No,14,3,0,0,0,0,No
34,Travel_Rarely,Research & Development,6,1,Male,1,Research Scientist,1,Single,2960,No,11,3,0,8,4,1,Yes
53,Travel_Rarely,Research & Development,5,3,Female,5,Manager,3,Divorced,19094,No,11,3,1,26,14,4,No
32,Travel_Frequently,Research & Development,16,1,Female,1,Research Scientist,1,Single,3919,Yes,22,4,0,10,10,6,Yes
42,Travel_Rarely,Sales,8,4,Male,2,Sales Executive,2,Married,6825,No,11,3,1,10,9,4,No
44,Travel_Rarely,Research & Development,7,4,Female,3,Healthcare Representative,4,Married,10248,No,14,3,1,24,22,5,No
